name,slug,url,feed,neighborhood,district,category
Ballard News-Tribune,ballard-news-tribune,http://www.ballardnewstribune.com/,http://www.ballardnewstribune.com/feed,Ballard,,
Public Data Ferret,public-data-ferret,http://socialcapitalreview.org/public-data-ferret/,http://socialcapitalreview.org/feed,,,
People of Pioneer Square,people-of-pioneer-square,http://www.peopleofpioneersquare.com/,http://www.peopleofpioneersquare.com/feed,Pioneer Square,,
The New Pioneer Square,new-pioneer-square,http://www.thenewpioneersquare.com/blog/,http://www.thenewpioneersquare.com/feed/,Pioneer Square,,
What's Good 206,whats-good-206,http://wg206.org/,http://wg206.org/feed/,,,
206UP,206up,http://206up.com/,http://206up.com/feed/,,,music
The SunBreak,the-sunbreak,http://thesunbreak.com/,http://feeds.feedburner.com/RecentStories-TheSunbreakMostRecentStories?format=xml,,,news
Lake Union Beat,lake-union-beat,http://lakeunionbeat.com/,http://lakeunionbeat.com/?feed=rss2,South Lake Union,,news
Seattle Pockets,seattle-pockets,http://seattlepockets.com/,http://seattlepockets.com/feed/rss/,,,
Seattle Bike Blog,seattle-bike-blog,http://www.seattlebikeblog.com/,http://www.seattlebikeblog.com/feed/,,,transit
Geekwire,geekwire,http://www.geekwire.com/,http://feeds.geekwire.com/geekwire?format=xml,,,technology
Seattle Star,seattle-star,http://www.seattlestar.net/,http://www.seattlestar.net/feed/,,,
